layer,param1,param2
classifier.1.weight,0,35
classifier.1.weight,0,86
classifier.1.weight,0,227
classifier.1.weight,0,119
classifier.1.weight,0,74
classifier.1.weight,0,18
classifier.1.weight,0,489
classifier.1.weight,0,53
classifier.1.weight,0,73
classifier.1.weight,0,686
classifier.1.weight,0,612
classifier.1.weight,0,1158
classifier.1.weight,0,140
classifier.1.weight,0,60
classifier.1.weight,0,11
classifier.1.weight,0,121
classifier.1.weight,0,448
classifier.1.weight,0,254
classifier.1.weight,0,152
classifier.1.weight,0,618
classifier.1.weight,0,625
classifier.1.weight,0,281
classifier.1.weight,0,533
classifier.1.weight,0,59
classifier.1.weight,0,756
classifier.1.weight,0,1577
classifier.1.weight,0,700
classifier.1.weight,0,1223
classifier.1.weight,0,1897
classifier.1.weight,0,2018
classifier.1.weight,0,258
classifier.1.weight,0,89
classifier.1.weight,0,357
classifier.1.weight,0,566
classifier.1.weight,0,1016
classifier.1.weight,0,967
classifier.1.weight,0,309
classifier.1.weight,0,647
classifier.1.weight,0,831
classifier.1.weight,0,987
classifier.1.weight,0,719
classifier.1.weight,0,446
classifier.1.weight,0,1393
classifier.1.weight,1,84
classifier.1.weight,0,1417
classifier.1.weight,0,1521
classifier.1.weight,1,548
classifier.1.weight,1,943
classifier.1.weight,0,1015
classifier.1.weight,0,490
classifier.1.weight,0,832
classifier.1.weight,0,1560
classifier.1.weight,0,1089
classifier.1.weight,0,1133
classifier.1.weight,0,838
classifier.1.weight,0,1374
classifier.1.weight,0,1670
classifier.1.weight,0,2212
classifier.1.weight,0,1144
classifier.1.weight,0,1312
classifier.1.weight,0,1728
classifier.1.weight,1,1157
classifier.1.weight,0,1686
classifier.1.weight,0,1778
classifier.1.weight,2,102
classifier.1.weight,2,225
classifier.1.weight,0,1372
classifier.1.weight,0,874
classifier.1.weight,0,1052
classifier.1.weight,1,169
classifier.1.weight,0,1434
classifier.1.weight,1,359
classifier.1.weight,0,1004
classifier.1.weight,0,1849
classifier.1.weight,0,1881
classifier.1.weight,1,615
classifier.1.weight,0,1288
classifier.1.weight,0,1572
classifier.1.weight,1,291
classifier.1.weight,2,147
classifier.1.weight,0,2010
classifier.1.weight,0,2029
classifier.1.weight,2,315
classifier.1.weight,2,710
classifier.1.weight,1,277
classifier.1.weight,0,940
classifier.1.weight,0,1164
classifier.1.weight,1,644
classifier.1.weight,0,1986
classifier.1.weight,1,890
classifier.1.weight,0,1137
classifier.1.weight,0,2104
classifier.1.weight,1,259
classifier.1.weight,1,1151
classifier.1.weight,0,2064
classifier.1.weight,0,1633
classifier.1.weight,1,486
classifier.1.weight,2,870
classifier.1.weight,0,2044
classifier.1.weight,0,2160
classifier.1.weight,2,908
classifier.1.weight,2,930
classifier.1.weight,1,1003
classifier.1.weight,0,1191
classifier.1.weight,0,1340
classifier.1.weight,1,1187
classifier.1.weight,0,2252
classifier.1.weight,1,1196
classifier.1.weight,0,1626
classifier.1.weight,1,99
classifier.1.weight,1,625
classifier.1.weight,1,1489
classifier.1.weight,1,94
classifier.1.weight,0,1826
classifier.1.weight,1,600
classifier.1.weight,2,1271
classifier.1.weight,0,2260
classifier.1.weight,1,14
classifier.1.weight,2,1569
classifier.1.weight,2,1595
classifier.1.weight,1,1390
classifier.1.weight,0,1727
classifier.1.weight,0,1652
classifier.1.weight,1,1823
classifier.1.weight,1,699
classifier.1.weight,1,1825
classifier.1.weight,1,201
classifier.1.weight,1,239
classifier.1.weight,1,673
classifier.1.weight,1,1948
classifier.1.weight,1,913
classifier.1.weight,0,1891
classifier.1.weight,1,795
classifier.1.weight,2,1867
classifier.1.weight,1,27
classifier.1.weight,1,144
classifier.1.weight,2,1926
classifier.1.weight,2,2254
classifier.1.weight,1,1904
classifier.1.weight,0,1744
classifier.1.weight,0,1855
classifier.1.weight,1,2152
classifier.1.weight,1,848
classifier.1.weight,1,2054
classifier.1.weight,1,228
classifier.1.weight,1,318
classifier.1.weight,1,1178
classifier.1.weight,2,352
classifier.1.weight,1,937
classifier.1.weight,0,1954
classifier.1.weight,1,1013
classifier.1.weight,3,353
classifier.1.weight,1,145
classifier.1.weight,1,321
classifier.1.weight,3,440
classifier.1.weight,3,1036
classifier.1.weight,2,96
classifier.1.weight,0,1909
classifier.1.weight,0,1885
classifier.1.weight,2,551
classifier.1.weight,1,1259
classifier.1.weight,2,716
classifier.1.weight,1,339
classifier.1.weight,1,1310
classifier.1.weight,1,1225
classifier.1.weight,2,773
classifier.1.weight,1,1759
classifier.1.weight,1,123
classifier.1.weight,1,1385
classifier.1.weight,3,1257
classifier.1.weight,1,350
classifier.1.weight,1,758
classifier.1.weight,3,1488
classifier.1.weight,3,1576
classifier.1.weight,2,581
classifier.1.weight,1,80
classifier.1.weight,0,2012
classifier.1.weight,2,1032
classifier.1.weight,1,1862
classifier.1.weight,2,956
classifier.1.weight,1,348
classifier.1.weight,1,2233
classifier.1.weight,1,1653
classifier.1.weight,2,1142
classifier.1.weight,2,879
classifier.1.weight,1,812
classifier.1.weight,1,1800
classifier.1.weight,3,1737
classifier.1.weight,1,779
classifier.1.weight,1,1249
classifier.1.weight,3,1922
classifier.1.weight,3,1934
classifier.1.weight,2,625
classifier.1.weight,1,346
classifier.1.weight,0,2079
classifier.1.weight,2,1461
classifier.1.weight,2,324
classifier.1.weight,2,1827
classifier.1.weight,1,368
classifier.1.weight,2,238
classifier.1.weight,1,2158
classifier.1.weight,3,291
classifier.1.weight,2,955
classifier.1.weight,1,979
classifier.1.weight,1,2245
classifier.1.weight,3,2218
classifier.1.weight,1,1352
classifier.1.weight,1,1738
classifier.1.weight,3,2275
classifier.1.weight,4,695
classifier.1.weight,2,2185
classifier.1.weight,1,760
classifier.1.weight,0,2238
classifier.1.weight,3,438
classifier.1.weight,2,454
classifier.1.weight,3,792
classifier.1.weight,1,748
classifier.1.weight,2,978
classifier.1.weight,2,450
classifier.1.weight,4,537
classifier.1.weight,2,1193
classifier.1.weight,1,982
classifier.1.weight,2,478
classifier.1.weight,4,903
classifier.1.weight,2,3
classifier.1.weight,2,134
classifier.1.weight,4,1085
classifier.1.weight,4,1800
classifier.1.weight,3,119
classifier.1.weight,1,1018
classifier.1.weight,1,328
classifier.1.weight,4,860
classifier.1.weight,2,1740
classifier.1.weight,3,917
classifier.1.weight,1,1118
classifier.1.weight,2,1778
classifier.1.weight,2,842
classifier.1.weight,4,876
classifier.1.weight,2,2045
classifier.1.weight,1,1588
classifier.1.weight,2,1094
classifier.1.weight,4,2070
classifier.1.weight,2,393
classifier.1.weight,2,760
classifier.1.weight,4,2111
classifier.1.weight,5,34
classifier.1.weight,3,396
classifier.1.weight,1,1501
classifier.1.weight,1,411
classifier.1.weight,4,1546
classifier.1.weight,2,2024
classifier.1.weight,4,55
classifier.1.weight,1,1154
classifier.1.weight,2,1823
classifier.1.weight,2,1454
classifier.1.weight,4,1751
classifier.1.weight,3,51
classifier.1.weight,2,97
classifier.1.weight,2,1818
classifier.1.weight,5,156
classifier.1.weight,2,807
classifier.1.weight,2,825
classifier.1.weight,5,583
classifier.1.weight,5,819
classifier.1.weight,3,1316
classifier.1.weight,1,1534
classifier.1.weight,1,621
classifier.1.weight,4,1817
classifier.1.weight,3,43
classifier.1.weight,4,188
